Year, Total, Gas, Liquid, Solid, Cement, Flaring, Per_capita, C13
1751,3,0,0,3,0,0, ,-24.1
1752,3,0,0,3,0,0, ,-24.1
1753,3,0,0,3,0,0, ,-24.1
1754,3,0,0,3,0,0, ,-24.1
1755,3,0,0,3,0,0, ,-24.1
1756,3,0,0,3,0,0, ,-24.1
1757,3,0,0,3,0,0, ,-24.1
1758,3,0,0,3,0,0, ,-24.1
1759,3,0,0,3,0,0, ,-24.1
1760,3,0,0,3,0,0, ,-24.1
1761,3,0,0,3,0,0, ,-24.1
1762,3,0,0,3,0,0, ,-24.1
1763,3,0,0,3,0,0, ,-24.1
1764,3,0,0,3,0,0, ,-24.1
1765,3,0,0,3,0,0, ,-24.1
1766,3,0,0,3,0,0, ,-24.1
1767,3,0,0,3,0,0, ,-24.1
1768,3,0,0,3,0,0, ,-24.1
1769,3,0,0,3,0,0, ,-24.1
1770,3,0,0,3,0,0, ,-24.1
1771,4,0,0,4,0,0, ,-24.1
1772,4,0,0,4,0,0, ,-24.1
1773,4,0,0,4,0,0, ,-24.1
1774,4,0,0,4,0,0, ,-24.1
1775,4,0,0,4,0,0, ,-24.1
1776,4,0,0,4,0,0, ,-24.1
1777,4,0,0,4,0,0, ,-24.1
1778,4,0,0,4,0,0, ,-24.1
1779,4,0,0,4,0,0, ,-24.1
1780,4,0,0,4,0,0, ,-24.1
1781,5,0,0,5,0,0, ,-24.1
1782,5,0,0,5,0,0, ,-24.1
1783,5,0,0,5,0,0, ,-24.1
1784,5,0,0,5,0,0, ,-24.1
1785,5,0,0,5,0,0, ,-24.1
1786,5,0,0,5,0,0, ,-24.1
1787,5,0,0,5,0,0, ,-24.1
1788,5,0,0,5,0,0, ,-24.1
1789,5,0,0,5,0,0, ,-24.1
1790,5,0,0,5,0,0, ,-24.1
1791,6,0,0,6,0,0, ,-24.1
1792,6,0,0,6,0,0, ,-24.1
1793,6,0,0,6,0,0, ,-24.1
1794,6,0,0,6,0,0, ,-24.1
1795,6,0,0,6,0,0, ,-24.1
1796,6,0,0,6,0,0, ,-24.1
1797,7,0,0,7,0,0, ,-24.1
1798,7,0,0,7,0,0, ,-24.1
1799,7,0,0,7,0,0, ,-24.1
1800,8,0,0,8,0,0, ,-24.1
1801,8,0,0,8,0,0, ,-24.1
1802,10,0,0,10,0,0, ,-24.1
1803,9,0,0,9,0,0, ,-24.1
1804,9,0,0,9,0,0, ,-24.1
1805,9,0,0,9,0,0, ,-24.1
1806,10,0,0,10,0,0, ,-24.1
1807,10,0,0,10,0,0, ,-24.1
1808,10,0,0,10,0,0, ,-24.1
1809,10,0,0,10,0,0, ,-24.1
1810,10,0,0,10,0,0, ,-24.1
1811,11,0,0,11,0,0, ,-24.1
1812,11,0,0,11,0,0, ,-24.1
1813,11,0,0,11,0,0, ,-24.1
1814,11,0,0,11,0,0, ,-24.1
1815,12,0,0,12,0,0, ,-24.1
1816,13,0,0,13,0,0, ,-24.1
1817,14,0,0,14,0,0, ,-24.1
1818,14,0,0,14,0,0, ,-24.1
1819,14,0,0,14,0,0, ,-24.1
1820,14,0,0,14,0,0, ,-24.1
1821,14,0,0,14,0,0, ,-24.1
1822,15,0,0,15,0,0, ,-24.1
1823,16,0,0,16,0,0, ,-24.1
1824,16,0,0,16,0,0, ,-24.1
1825,17,0,0,17,0,0, ,-24.1
1826,17,0,0,17,0,0, ,-24.1
1827,18,0,0,18,0,0, ,-24.1
1828,18,0,0,18,0,0, ,-24.1
1829,18,0,0,18,0,0, ,-24.1
1830,24,0,0,24,0,0, ,-24.1
1831,23,0,0,23,0,0, ,-24.1
1832,23,0,0,23,0,0, ,-24.1
1833,24,0,0,24,0,0, ,-24.1
1834,24,0,0,24,0,0, ,-24.1
1835,25,0,0,25,0,0, ,-24.1
1836,29,0,0,29,0,0, ,-24.1
1837,29,0,0,29,0,0, ,-24.1
1838,30,0,0,30,0,0, ,-24.1
1839,31,0,0,31,0,0, ,-24.1
1840,33,0,0,33,0,0, ,-24.1
1841,34,0,0,34,0,0, ,-24.1
1842,36,0,0,36,0,0, ,-24.1
1843,37,0,0,37,0,0, ,-24.1
1844,39,0,0,39,0,0, ,-24.1
1845,43,0,0,43,0,0, ,-24.1
1846,43,0,0,43,0,0, ,-24.1
1847,46,0,0,46,0,0, ,-24.1
1848,47,0,0,47,0,0, ,-24.1
1849,50,0,0,50,0,0, ,-24.1
1850,54,0,0,54,0,0, ,-24.1
1851,54,0,0,54,0,0, ,-24.1
1852,57,0,0,57,0,0, ,-24.1
1853,59,0,0,59,0,0, ,-24.1
1854,69,0,0,69,0,0, ,-24.1
1855,71,0,0,71,0,0, ,-24.1
1856,76,0,0,76,0,0, ,-24.1
1857,77,0,0,77,0,0, ,-24.1
1858,78,0,0,78,0,0, ,-24.1
1859,83,0,0,83,0,0, ,-24.1
1860,91,0,0,91,0,0, ,-24.1
1861,95,0,0,95,0,0, ,-24.11
1862,97,0,0,96,0,0, ,-24.11
1863,104,0,0,103,0,0, ,-24.11
1864,112,0,0,112,0,0, ,-24.11
1865,119,0,0,119,0,0, ,-24.11
1866,122,0,0,122,0,0, ,-24.11
1867,130,0,0,130,0,0, ,-24.11
1868,135,0,0,134,0,0, ,-24.11
1869,142,0,0,142,0,0, ,-24.11
1870,147,0,1,146,0,0, ,-24.11
1871,156,0,1,156,0,0, ,-24.11
1872,173,0,1,173,0,0, ,-24.11
1873,184,0,1,183,0,0, ,-24.12
1874,174,0,1,173,0,0, ,-24.12
1875,188,0,1,187,0,0, ,-24.12
1876,191,0,1,190,0,0, ,-24.12
1877,194,0,2,192,0,0, ,-24.13
1878,196,0,2,194,0,0, ,-24.14
1879,210,0,3,207,0,0, ,-24.14
1880,236,0,3,233,0,0, ,-24.15
1881,243,0,4,239,0,0, ,-24.15
1882,256,0,4,252,0,0, ,-24.16
1883,272,0,3,269,0,0, ,-24.15
1884,275,0,4,271,0,0, ,-24.17
1885,277,1,4,273,0,0, ,-24.22
1886,281,2,5,275,0,0, ,-24.31
1887,295,3,5,287,0,0, ,-24.38
1888,327,5,5,317,0,0, ,-24.44
1889,327,3,6,318,0,0, ,-24.37
1890,356,3,8,345,0,0, ,-24.36
1891,372,2,9,360,0,0, ,-24.32
1892,374,2,9,363,0,0, ,-24.3
1893,370,2,10,358,0,0, ,-24.3
